,county_state,all_pubs_tot_circ_household,tot_households_est,diff_margin_gop_2016_2012,diff_cvap_turnout_2016_2012,pct_uninsured,unemployment_rate,pct_white_nonhispanic,any_college_aggregate,fips,fips2,trump_win,margin_gop_2016,margin_gop_2012,combined_cvap_turnout_2016
1788,WHITE//AR,0.18718541695,29404.0,4.13254115347,2.174946,14.4,4.2,88.610475464,45.6727417588,5145.0,5145.0,1,57.8521729627,53.7196318093,47.313088
1789,MERCER//ND,0.187312823305,3673.0,23.0443413993,3.310823,9.8,4.3,93.8723502838,60.3581800581,38057.0,38057.0,1,67.9009640666,44.8566226673,70.188355
1790,CASS//IA,0.187335526316,6080.0,20.8956832921,3.326678,6.1,2.3,95.8793230316,47.5317642158,19029.0,19029.0,1,39.8157335223,18.9200502302,72.041446
1791,EMMONS//ND,0.187617260788,1599.0,18.1448205945,6.062996,8.1,4.2,96.7946866878,46.9037155414,38029.0,38029.0,1,74.3746809597,56.2298603652,74.368316
1792,YADKIN//NC,0.187650465222,15369.0,10.0655296498,2.06976,14.8,4.2,85.0201469543,43.2115079665,37197.0,37197.0,1,61.5273775216,51.4618478718,61.6036
1793,CASS//TX,0.187751261654,11691.0,10.2037555995,2.25051,20.0,7.1,76.6222632551,41.5843911613,48067.0,48067.0,1,59.7277270377,49.5239714383,52.869278
1794,DALLAS//IA,0.187801253941,27593.0,-2.14676723961,-12.174017,5.0,2.1,87.1000907974,73.8547508904,19049.0,19049.0,1,9.63925884573,11.7860260853,64.745712
1795,MONROE//WI,0.187872316511,17794.0,21.7954213085,-0.633394,10.7,4.0,91.5978265671,49.9408672799,55081.0,55081.0,1,22.4762196993,0.68079839084,58.386344
1796,CHEROKEE//KS,0.188032048072,7988.0,18.8880302217,2.014535,13.8,4.1,88.8125238641,52.4274553571,20021.0,20021.0,1,48.3901740997,29.502143878,56.160384
1797,NEMAHA//NE,0.188043100452,2877.0,14.4615653798,1.314485,8.1,3.5,94.6149553571,59.888936352,31127.0,31127.0,1,42.9324546952,28.4708893154,58.591443
1798,BAYLOR//TX,0.188044109112,1723.0,7.41947000418,-4.357511,18.9,3.7,86.3836824697,56.6780174045,48023.0,48023.0,1,72.1179624665,64.6984924623,52.44593
1799,AUTAUGA//AL,0.188125122573,20396.0,3.42096454762,0.569022,10.1,5.0,75.7827638036,53.6385913709,1001.0,1001.0,1,49.4789343498,46.0579698022,59.824592
1800,MASON//IL,0.188194898627,6116.0,25.4124589172,4.883289,8.4,6.4,96.8002265326,45.9838757838,17125.0,17125.0,1,31.7581221825,6.34566326531,61.140889
1801,JACKSON//KS,0.188221927665,5281.0,12.5506043172,2.334041,7.3,3.2,84.6567164179,53.4082063827,20085.0,20085.0,1,41.8892963157,29.3386919985,59.061772
1802,BUCKINGHAM//VA,0.188291986436,5603.0,13.9360781778,-1.372462,15.8,5.3,60.9913288024,33.7340589717,51029.0,51029.0,1,11.5458539264,-2.39022425138,53.154099
1803,WASHINGTON//IA,0.188297158201,8938.0,16.4020925721,-0.578487,10.0,2.5,92.0152609347,54.501232758,19183.0,19183.0,1,20.6208425721,4.21875,67.111659
1804,AMELIA//VA,0.188350340136,4704.0,9.63752665245,-0.465978,14.3,3.9,72.3252719731,45.6642271014,51007.0,51007.0,1,36.3041933191,26.6666666667,69.742262
1805,MARION//AR,0.188479331443,6701.0,15.9949651025,1.173836,14.4,3.6,94.7685016405,41.9923736892,5089.0,5089.0,1,55.075915451,39.0809503486,53.066361
1806,KINGFISHER//OK,0.188643093538,5741.0,2.8654092779,3.08736,13.7,3.1,78.218533525,51.147997217,40073.0,40073.0,1,71.3375796178,68.4721703399,60.046101
1807,KINGS//NY,0.189218339833,931786.0,2.02754731091,2.825978,12.0,4.8,35.7168590881,53.0876958276,36047.0,36047.0,0,-61.8298394067,-63.8573867176,48.420244
1808,GLADWIN//MI,0.189416058394,10960.0,27.5396288579,0.00354699999999,13.1,5.5,96.5452335203,44.8081623977,26051.0,26051.0,1,34.7177677999,7.178138942,61.526847
1809,MARION//MO,0.189422991171,11213.0,17.8024269261,3.127056,14.2,3.5,90.520110957,45.8813154892,29127.0,29127.0,1,49.7984808557,31.9960539296,58.747846
1810,FREMONT//CO,0.189695263738,16342.0,12.9439097615,2.235383,11.7,4.1,78.0298660514,47.5620975161,8043.0,8043.0,1,44.7486288848,31.8047191233,56.134272
1811,JOHNSON//MO,0.189775174002,19971.0,12.6531053526,0.801301,10.5,3.9,86.5294063337,60.2765840576,29101.0,29101.0,1,36.8852847726,24.23217942,51.287943
1812,CROOK//OR,0.189998898557,9079.0,13.3286216161,4.145062,12.8,6.3,88.7669402558,49.3321346006,41013.0,41013.0,1,49.8109640832,36.4823424671,66.713524
1813,HOT SPRING//AR,0.190095583388,12136.0,13.4216748801,2.015626,14.2,3.4,82.9751470765,42.6353929934,5059.0,5059.0,1,42.4545069826,29.0328321025,45.608687
1814,RAVALLI//MT,0.190101507598,16649.0,6.47714812073,-3.125375,17.8,4.2,93.2072606129,58.0104923325,30081.0,30081.0,1,38.5577663962,32.0806182755,66.348875
1815,JACKSON//GA,0.190374382364,21048.0,0.993919188487,4.387957,15.5,4.1,82.6571149463,48.4208453339,13157.0,13157.0,1,63.8836530288,62.8897338403,59.486669
1816,LAMAR//MS,0.190624285388,21865.0,1.03529042119,-3.56946,15.5,3.8,74.735501401,67.2475897871,28073.0,28073.0,1,55.6226477522,54.587357331,55.26011
1817,ONSLOW//NC,0.190689072928,62185.0,7.68469332328,3.356478,12.1,5.5,67.2881531186,61.8833300942,37133.0,37133.0,1,34.654287985,26.9695946617,41.305137
1818,SCHOOLCRAFT//MI,0.190699034805,3419.0,21.7492512331,2.802599,11.8,7.1,86.2693050193,40.5077619664,26153.0,26153.0,1,28.595519152,6.84626791893,63.222176
1819,MADISON//ID,0.190975254731,10305.0,-38.1771286406,11.756295,10.0,2.2,89.8143264057,79.6136378174,16065.0,16065.0,1,49.3402180149,87.5173466556,66.569388
1820,BOTTINEAU//ND,0.191103789127,3035.0,19.7733468465,1.158529,9.8,3.3,92.8248417244,58.4582441113,38009.0,38009.0,1,50.8583066628,31.0849598163,69.069147
