,county_state,all_pubs_tot_circ_household,tot_households_est,diff_margin_gop_2016_2012,pct_uninsured,unemployment_rate,pct_white_nonhispanic,any_college_aggregate,fips,fips2,trump_win,margin_gop_2016,margin_gop_2012,turnoutcvap
1464,BARTON//MO,0.17562149158,4988.0,14.7662309985,12.0,5.2,93.2516850238,47.4062347784,29011.0,29011.0,1,70.1786918409,55.4124608423,0.63468897
1465,STEPHENS//GA,0.175799086758,9198.0,6.2054524604,15.4,5.7,83.0327868852,41.7433865517,13257.0,13257.0,1,59.9077868852,53.7023344248,0.48668879
1466,SULLIVAN//PA,0.176095916073,2669.0,20.9824471711,9.4,5.9,93.5276602413,40.4592562487,42113.0,42113.0,1,49.3055555556,28.3231083845,0.53957826
1467,MONTGOMERY//IA,0.176138828633,4610.0,20.7969587835,8.2,3.4,94.6392737697,50.7309149973,19137.0,19137.0,1,42.3969587835,21.6,0.63368618
1468,FANNIN//TX,0.17638216135,11974.0,9.41043509586,17.6,3.7,79.7025008889,47.2715682108,48147.0,48147.0,1,61.9194787838,52.509043688,0.42733786
1469,JUAB//UT,0.176432710882,3106.0,-18.871684978,14.8,2.4,92.6538461538,56.1302681992,49023.0,49023.0,1,56.9921491658,75.8638341438,0.61112368
1470,CASWELL//NC,0.176463808207,8676.0,8.81529686141,13.9,5.2,61.2583067231,40.811498196,37033.0,37033.0,1,11.4978601997,2.6825633383,0.59723252
1471,TIPPAH//MS,0.176667864415,8349.0,10.2536719703,13.8,4.7,77.60496962,43.0743710257,28139.0,28139.0,1,58.7772066061,48.5235346359,0.56934923
1472,NEWAYGO//MI,0.176727193413,18339.0,22.212376803,10.2,3.8,90.6244144163,44.8707813925,26123.0,26123.0,1,39.6460959965,17.4337191934,0.59587902
1473,SAN FRANCISCO//CA,0.176782615834,353287.0,-5.9375168148,8.5,3.1,41.2401592363,74.3079427439,6075.0,6075.0,0,-76.0891881904,-70.1516713756,0.58668309
1474,DODDRIDGE//WV,0.17688855647,2674.0,14.2778542769,15.7,4.2,96.2443604438,37.5423728814,54017.0,54017.0,1,70.3113941967,56.0335399198,0.4145768
1475,BIBB//AL,0.176889141881,7027.0,8.69631123817,9.7,6.2,74.5000884799,38.5885213385,1007.0,1007.0,1,55.5441243713,46.8478131331,0.47839519
1476,BUTTE//SD,0.177004167688,4079.0,12.0253510521,17.7,3.1,91.7605907501,53.1424481031,46019.0,46019.0,1,61.2517257248,49.2263746727,0.54460514
1477,CUSTER//NE,0.177028451001,4745.0,13.6979099752,12.2,2.0,95.593408628,59.0650245001,31041.0,31041.0,1,72.5268719257,58.8289619505,0.67136186
1478,COLUMBIA//OR,0.177162629758,18785.0,17.1371275108,10.8,5.6,89.4693150297,55.9297006196,41009.0,41009.0,1,11.9950552299,-5.14207228088,0.64387381
1479,AMITE//MS,0.177331995988,4985.0,7.32715794689,15.7,6.3,57.2352024922,38.0659767141,28005.0,28005.0,1,22.6645812598,15.3374233129,0.76499617
1480,CALHOUN//IL,0.177896267571,2063.0,24.3551440735,4.8,5.5,97.8395679136,47.9334257975,17013.0,17013.0,1,38.3411580595,13.986013986,0.65562308
1481,SULLIVAN//NH,0.177898966705,17420.0,15.9319258232,11.2,2.2,95.6879564159,52.4798521963,33019.0,33019.0,1,2.65146373467,-13.2804620886,0.6395309
1482,CONCHO//TX,0.178351783518,813.0,9.23200510829,14.6,2.9,42.8046989721,33.0508474576,48095.0,48095.0,1,69.0721649485,59.8401598402,0.47154716
1483,SALT LAKE//UT,0.178432587271,351892.0,-29.552829407,14.5,2.5,72.8405554248,66.786221607,49035.0,49035.0,0,-10.2200931515,19.3327362555,0.55142146
1484,SHIAWASSEE//MI,0.178481520668,27409.0,23.3130424459,10.3,4.0,94.4771605921,54.3239308846,26155.0,26155.0,1,19.636352955,-3.67668949092,0.63449484
